studentnumber,firstname,middlename,lastname,suffix,sectionid,batchid,contactnumber
18-0101,Mike,,Bautista,Jr,1,1,9301252141
18-0102,Christian,Cruz,Mariano,,1,1,9310263252
18-0103,Ervin,Sanchez,Delino,,1,1,9682174363
18-0104,Sheena,Lucion,Sanchez,,1,1,9680005215
18-0105,Marjorie,,Rivera,,1,1,9677836066
18-0106,Shane,Dela Cruz,Abendan,,1,1,9675666913
18-0107,John Paul,,Mendoza,,2,1,9673497762
18-0108,Almar,,Pineda,,2,1,9671328611
18-0109,Elizah,Cruz,Calixto,,2,1,9669159450
18-0110,Freya,,Francisco,,2,1,9666990309
18-0111,Marie,Marcos,Geron,,2,1,9664821158
18-0112,Clark David,Santos,Genovia,III,3,1,9662652007
18-0113,Daniel,,Santos,,3,1,9660482856
18-0114,Harvey,Cahusay,Alvarez,,3,1,9658313705
18-0115,Jayson,,Borlagdatan,,3,1,9656144554
18-0116,Michaela,Pineda,Rodelas,,3,1,9653975403
18-0117,Ann,Geronimo,Lucion,,3,1,9651806252
18-0118,Marlene,Marcelo,Depaz,,3,1,9649637101
18-0119,Lyca,Lazar,Gregorio,,3,1,9647467940
